chain,n_iterations,N,IPR,log10_N,log10_IPR
fibonacci,12,233,0.048385290565836604,2.367355921026019,-1.315286646558506
fibonacci,13,377,0.041587786903723764,2.576341350205793,-1.38103419002395
fibonacci,14,610,0.020071446066381827,2.785329835010767,-1.6974213372271905
fibonacci,15,987,0.02133690163271042,2.9943171526696366,-1.6708686449635985
fibonacci,16,1597,0.018411790283940396,3.203304916138483,-1.734903980500101
fibonacci,17,2584,0.008851672650084864,3.4122925093230463,-2.0529746553966706
tribonacci,10,274,0.09692506207622371,2.437750562820388,-1.0135639121742186
tribonacci,11,504,0.08201560985870175,2.7024305364455254,-1.086103481392943
tribonacci,12,927,0.08199054014992638,2.967079734144497,-1.0862362524660802
tribonacci,13,1705,0.08201290237788854,3.2317243833285163,-1.0861178184610676
tribonacci,14,3136,0.04100749391204957,3.496376054012401,-1.3871367709081848
