N,time,lambda,chain,IPR,norm
500,0.0,1.5,fibonacci,0.020964511224918797,1.0
500,1.0,1.5,fibonacci,0.020955555747059387,0.9999999999965744
500,1.0312831606721848,1.5,fibonacci,0.020954621261064604,0.9999999999948825
500,1.0635449574860112,1.5,fibonacci,0.020953587214831176,0.9999999999947182
500,1.096816005273138,1.5,fibonacci,0.020952443436262767,0.9999999999965189
500,1.1311278765939214,1.5,fibonacci,0.02095117885178742,0.9999999999992871
500,1.1665131316981963,1.5,fibonacci,0.02094978143612812,0.9999999999999964
500,1.2030053494233244,1.5,fibonacci,0.020948238171564187,1.0000000000001041
500,1.240639159058832,1.5,fibonacci,0.020946535003617612,0.9999999999999292
500,1.2794502732078736,1.5,fibonacci,0.02094465680873992,0.9999999999999123
500,1.3194755216767062,1.5,fibonacci,0.020942587371953283,1.0000000000005993
500,1.3607528864243335,1.5,fibonacci,0.020940309376810858,1.000000000002036
500,1.403321537605485,1.5,fibonacci,0.020937804411420825,1.0000000000035272
500,1.4472218707411348,1.5,fibonacci,0.020935052994119078,1.0000000000038756
500,1.4924955450518296,1.5,fibonacci,0.020932034622704848,1.0000000000020839
500,1.5391855229902058,1.5,fibonacci,0.02092872785140299,0.9999999999983163
500,1.587336111010209,1.5,fibonacci,0.02092511039983087,0.9999999999945768
500,1.6369930016117025,1.5,fibonacci,0.02092115929814983,0.999999999994136
500,1.6882033167003634,1.5,fibonacci,0.020916851072167165,0.9999999999981962
500,1.7410156523040161,1.5,fibonacci,0.020912161972309384,1.0000000000000022
500,1.7954801246878311,1.5,fibonacci,0.02090706826242408,0.9999999999999983
500,1.8516484179121548,1.5,fibonacci,0.020901546552072957,0.9999999999998496
500,1.9095738328780973,1.5,fibonacci,0.020895574185339643,1.000000000001344
500,1.9693113379074225,1.5,fibonacci,0.020889129689198753,1.0000000000040918
500,2.0309176209047357,1.5,fibonacci,0.020882193276212067,1.0000000000048244
500,2.0944511431514696,1.5,fibonacci,0.02087474739932524,1.0000000000006406
500,2.159972194782718,1.5,fibonacci,0.020866777353363192,0.9999999999938582
500,2.2275429519995575,1.5,fibonacci,0.020858271914765036,0.9999999999928618
500,2.2972275360711523,1.5,fibonacci,0.020849224007441266,0.999999999999615
500,2.369092074182633,1.5,fibonacci,0.020839631375698737,1.0000000000000486
500,2.4432047621864883,1.5,fibonacci,0.020829497241424366,0.999999999999786
500,2.519635929317015,1.5,fibonacci,0.020818830925349547,1.0000000000024982
500,2.598458104929249,1.5,fibonacci,0.02080764840897416,1.0000000000057911
500,2.6797460873256913,1.5,fibonacci,0.02079597279318974,1.0000000000017382
500,2.763577014736159,1.5,fibonacci,0.020783834617062527,0.99999999999225
500,2.850030438518107,1.5,fibonacci,0.020771272019594358,0.9999999999943459
500,2.9391883986468863,1.5,fibonacci,0.020758330740414988,0.9999999999999387
500,3.0311355015675785,1.5,fibonacci,0.0207450638615905,0.9999999999996257
500,3.1259590004822804,1.5,fibonacci,0.020731531312388588,1.000000000002761
500,3.2237488781490296,1.5,fibonacci,0.020717799173245302,1.000000000005229
500,3.3245979322709407,1.5,fibonacci,0.02070393870824249,0.999999999996024
500,3.428601863556586,1.5,fibonacci,0.020690025134540123,0.9999999999923584
500,3.5358593665351785,1.5,fibonacci,0.0206761362392143,0.9999999999998417
500,3.646472223212748,1.5,fibonacci,0.020662350752173292,0.9999999999997145
500,3.760545399658171,1.5,fibonacci,0.020648746385819414,1.0000000000044094
500,3.8781871456107226,1.5,fibonacci,0.020635397638427058,1.0000000000007978
500,3.9995090972036653,1.5,fibonacci,0.020622372969547473,0.9999999999910908
500,4.1246263829013525,1.5,fibonacci,0.020609731140641067,0.999999999999745
500,4.253657732750387,1.5,fibonacci,0.020597516284092954,0.9999999999998745
500,4.386725591048498,1.5,fibonacci,0.02058575076531962,1.0000000000059253
500,4.523956232538054,1.5,fibonacci,0.020574425261587013,0.9999999999949543
500,4.6654798822344725,1.5,fibonacci,0.020563484787667143,0.9999999999966052
500,4.811430839003259,1.5,fibonacci,0.02055280986871387,0.9999999999993472
500,4.961947603002903,1.5,fibonacci,0.020542191915444562,1.000000000006132
500,5.117173007114605,1.5,fibonacci,0.02053130268006185,0.999999999997136
500,5.277254352483538,1.5,fibonacci,0.020519658542553332,0.9999999999948214
500,5.442343548300267,1.5,fibonacci,0.02050658182058362,0.9999999999991885
500,5.612597255954972,1.5,fibonacci,0.02049116319726363,1.000000000006451
500,5.788177037701274,1.5,fibonacci,0.020472231458606268,0.9999999999897589
500,5.969249509970735,1.5,fibonacci,0.020448338985849992,0.9999999999994822
500,6.155986501483509,1.5,fibonacci,0.02041777271502417,1.0000000000031597
500,6.348565216305219,1.5,fibonacci,0.020378601194752093,0.9999999999946658
500,6.547168402004738,1.5,fibonacci,0.02032876650057292,0.9999999999993059
500,6.751984523072503,1.5,fibonacci,0.0202662258812721,1.0000000000033804
500,6.963207939763885,1.5,fibonacci,0.020189141320542985,0.9999999999925727
500,7.181039092537351,1.5,fibonacci,0.020096105423148734,0.9999999999993384
500,7.405684692262437,1.5,fibonacci,0.01998638102161468,1.000000000006027
500,7.637357916378021,1.5,fibonacci,0.019860122010182963,0.9999999999870244
500,7.876278611187057,1.5,fibonacci,0.019718535971665143,0.9999999999987439
500,8.122673500479713,1.5,fibonacci,0.019563949272908398,1.0000000000014986
500,8.376776400682918,1.5,fibonacci,0.019399744514211593,0.9999999999989455
500,8.638828442740447,1.5,fibonacci,0.01923015756686415,1.0000000000069251
500,8.909078300934137,1.5,fibonacci,0.019059946767603402,0.9999999999894352
500,9.187782428863335,1.5,fibonacci,0.018893972951594052,1.0000000000019424
500,9.475205302806543,1.5,fibonacci,0.018736748044443047,0.9999999999849027
500,9.771619672696177,1.5,fibonacci,0.01859200737772557,0.9999999999992695
500,10.077306820944612,1.5,fibonacci,0.018462330951369222,0.999999999988032
500,10.392556829367125,1.5,fibonacci,0.018348785500359507,0.9999999999999145
500,10.71766885445503,1.5,fibonacci,0.01825052490974635,0.9999999999866309
500,11.052951411260215,1.5,fibonacci,0.018164323356285438,1.0000000000043072
500,11.39872266616052,1.5,fibonacci,0.018084166316707354,0.9999999999875158
500,11.755310738783693,1.5,fibonacci,0.01800124397419312,1.0000000000076459
500,12.123054013376523,1.5,fibonacci,0.017904839264535323,0.9999999999981449
500,12.502301459914554,1.5,fibonacci,0.017784476119806776,0.9999999999941048
500,12.89341296525715,1.5,fibonacci,0.017633172664984674,1.0000000000004468
500,13.29675967466212,1.5,fibonacci,0.01745085909786665,0.9999999999972828
500,13.712724343984002,1.5,fibonacci,0.017246426764924074,0.9999999999993956
500,14.141701702890233,1.5,fibonacci,0.017037032927078723,0.9999999999998732
500,14.584098829439856,1.5,fibonacci,0.01684437412819887,0.9999999999972771
500,15.040335536380244,1.5,fibonacci,0.016689164333526588,0.9999999999857382
500,15.510844769528397,1.5,fibonacci,0.01658603349976264,1.0000000000063411
500,15.996073018614878,1.5,fibonacci,0.016540470787399533,0.9999999999985718
