chain,N,IPR,log10_N,log10_IPR
tetrabonacci,208,0.13812988137206225,2.3180633349627615,-0.8597123611663485
tetrabonacci,401,0.2237312466359904,2.603144372620182,-0.6502733574593624
tetrabonacci,773,0.1642907336994124,2.888179493918325,-0.7843869308844744
tetrabonacci,1490,0.09769478416156004,3.173186268412274,-1.0101286222619912
tetrabonacci,2872,0.09702112816305744,3.4581844355702627,-1.0131336796981854
tetrabonacci,5536,0.09686939314366519,3.7431960814487013,-1.0138134209732312
tetrabonacci,10671,0.03279094855345871,4.028205119905443,-1.4842460201841106
fibonacci,233,0.0483852905658366,2.367355921026019,-1.315286646558506
fibonacci,377,0.04158778690372373,2.576341350205793,-1.3810341900239504
fibonacci,610,0.020071446066382084,2.785329835010767,-1.697421337227185
fibonacci,987,0.021336901632710476,2.9943171526696366,-1.6708686449635974
fibonacci,1597,0.01841179028394043,3.203304916138483,-1.7349039805001
fibonacci,2584,0.008851672650084302,3.4122925093230463,-2.052974655396698
tribonacci,274,0.09692506207622738,2.437750562820388,-1.0135639121742022
tribonacci,504,0.0820156098587018,2.7024305364455254,-1.0861034813929429
tribonacci,927,0.08199054014992636,2.967079734144497,-1.0862362524660802
tribonacci,1705,0.0820129023778896,3.2317243833285163,-1.086117818461062
tribonacci,3136,0.04100749391011153,3.496376054012401,-1.38713677092871
