time,lambda,chain,N,IPR,norm
0.0,1.5,fibonacci,500,0.020964511224918797,1.0
10000.0,1.5,fibonacci,500,0.00490499023079203,0.9999999753645601
0.0,1.5,fibonacci,1000,0.010802718160829386,1.0
10000.0,1.5,fibonacci,1000,0.0032111101278793188,0.9999999676082469
0.0,1.5,fibonacci,2000,0.00940313707633849,1.0
10000.0,1.5,fibonacci,2000,0.0033724641408872315,0.9999999962836633
0.0,1.5,tribonacci,500,0.08201561019889944,1.0
10000.0,1.5,tribonacci,500,0.007460026755416841,0.9999998400680644
0.0,1.5,tribonacci,1000,0.0410088225794245,1.0
10000.0,1.5,tribonacci,1000,0.01343976894414354,0.9999997573236455
0.0,1.5,tribonacci,2000,0.0483982089007412,1.0
10000.0,1.5,tribonacci,2000,0.010706468928807174,0.9999996911476527
0.0,1.5,tetrabonacci,500,0.09707325722664897,1.0
10000.0,1.5,tetrabonacci,500,0.01585298261696559,0.999999800344088
0.0,1.5,tetrabonacci,1000,0.09700646937826125,1.0
10000.0,1.5,tetrabonacci,1000,0.012633397290603079,0.9999997092201823
0.0,1.5,tetrabonacci,2000,0.1618889348661065,1.0
10000.0,1.5,tetrabonacci,2000,0.02014461968939092,0.9999994299614953
