N,time,lambda,chain,IPR,norm
500,0.0,1.5,fibonacci,0.020964511224918797,1.0
500,1.0,1.5,fibonacci,0.020955555752156674,1.000000000003593
500,1.6237767391887217,1.5,fibonacci,0.020922232726405005,1.0000000000002882
500,2.636650898730358,1.5,fibonacci,0.020802177604159346,1.0000000000444715
500,4.281332398719393,1.5,fibonacci,0.020595001704612953,1.0000000000497458
500,6.951927961775605,1.5,fibonacci,0.020193586148726503,0.9999999999038017
500,11.28837891684689,1.5,fibonacci,0.018109309280868534,0.999999999979762
500,18.329807108324356,1.5,fibonacci,0.01662164159947916,1.00000000000848
500,29.763514416313175,1.5,fibonacci,0.016690057988816297,0.9999999999197745
500,48.32930238571752,1.5,fibonacci,0.009389813315495765,0.9999999997500427
500,78.47599703514611,1.5,fibonacci,0.007292383604429789,0.9999999997635745
500,127.42749857031335,1.5,fibonacci,0.011694821869302431,0.9999999994936033
500,206.913808111479,1.5,fibonacci,0.010359456774344331,0.9999999992321317
500,335.9818286283781,1.5,fibonacci,0.014334832146399842,0.9999999988966395
500,545.5594781168514,1.5,fibonacci,0.010426242565488535,0.9999999981270892
500,885.8667904100823,1.5,fibonacci,0.010877724947118722,0.9999999969797784
500,1438.449888287663,1.5,fibonacci,0.011221685357003701,0.9999999950338462
500,2335.7214690901214,1.5,fibonacci,0.007501400772888615,0.9999999918437158
500,3792.690190732246,1.5,fibonacci,0.006897247338191586,0.9999999844011872
500,6158.48211066026,1.5,fibonacci,0.006578217631525634,0.9999999079903785
500,10000.0,1.5,fibonacci,0.004898818019915205,0.9999996600224096
500,0.0,1.5,tribonacci,0.08201561019889944,1.0000000000000002
500,1.0,1.5,tribonacci,0.08187995277087519,1.0000000001713256
500,1.6237767391887217,1.5,tribonacci,0.08126870421865177,1.0000000001561795
500,2.636650898730358,1.5,tribonacci,0.07915224802487289,0.9999999995942266
500,4.281332398719393,1.5,tribonacci,0.0771838340798991,0.9999999999785707
500,6.951927961775605,1.5,tribonacci,0.08212962623999372,0.9999999999067892
500,11.28837891684689,1.5,tribonacci,0.08122409170055687,0.9999999999054643
500,18.329807108324356,1.5,tribonacci,0.08178780632445375,0.999999999827668
500,29.763514416313175,1.5,tribonacci,0.08118447180617056,0.9999999997054516
500,48.32930238571752,1.5,tribonacci,0.07705479666619451,0.999999999547818
500,78.47599703514611,1.5,tribonacci,0.07652197751155781,0.9999999989233598
500,127.42749857031335,1.5,tribonacci,0.08461230491762473,0.999999998799374
500,206.913808111479,1.5,tribonacci,0.07839120705088043,0.9999999976321242
500,335.9818286283781,1.5,tribonacci,0.050538029028559486,0.9999999468890473
500,545.5594781168514,1.5,tribonacci,0.05149044274634352,0.9999998654574084
500,885.8667904100823,1.5,tribonacci,0.054565568402215985,0.999999719929477
500,1438.449888287663,1.5,tribonacci,0.06972634293165905,0.9999995013042726
500,2335.7214690901214,1.5,tribonacci,0.018740142955172165,0.9999992663928827
500,3792.690190732246,1.5,tribonacci,0.012875957375521399,0.9999989330035194
500,6158.48211066026,1.5,tribonacci,0.008920068154453011,0.9999984433667578
500,10000.0,1.5,tribonacci,0.00827356201555282,0.9999977424100662
1000,0.0,1.5,fibonacci,0.010802718160829382,1.0
1000,1.0,1.5,fibonacci,0.010802185622788462,0.999999999999976
1000,1.6237767391887217,1.5,fibonacci,0.010797942196676388,0.9999999999736224
1000,2.636650898730358,1.5,fibonacci,0.010780580244128026,0.9999999999996838
1000,4.281332398719393,1.5,fibonacci,0.010752869204451168,0.9999999999931954
1000,6.951927961775605,1.5,fibonacci,0.010703832780302357,0.9999999999928542
1000,11.28837891684689,1.5,fibonacci,0.01033309721665289,0.9999999999715093
1000,18.329807108324356,1.5,fibonacci,0.010045386614423559,0.9999999999126183
1000,29.763514416313175,1.5,fibonacci,0.010286492293395443,0.9999999999347088
1000,48.32930238571752,1.5,fibonacci,0.00775750010734146,0.9999999999810019
1000,78.47599703514611,1.5,fibonacci,0.005394237178948124,0.9999999998817686
1000,127.42749857031335,1.5,fibonacci,0.006834480091071162,0.9999999997446661
1000,206.913808111479,1.5,fibonacci,0.006633902335504722,0.9999999995507808
1000,335.9818286283781,1.5,fibonacci,0.006677610629261371,0.9999999992885331
1000,545.5594781168514,1.5,fibonacci,0.00633308264079137,0.99999999878609
1000,885.8667904100823,1.5,fibonacci,0.006624246425277085,0.9999999980514238
1000,1438.449888287663,1.5,fibonacci,0.008012934840340713,0.9999999963728857
1000,2335.7214690901214,1.5,fibonacci,0.006520833937768892,0.9999999940780923
1000,3792.690190732246,1.5,fibonacci,0.006531948949809789,0.9999999900351965
1000,6158.48211066026,1.5,fibonacci,0.006064587068183659,0.9999999591266561
1000,10000.0,1.5,fibonacci,0.0033100251146062657,0.9999995532949965
1000,0.0,1.5,tribonacci,0.0410088225794245,1.0
1000,1.0,1.5,tribonacci,0.04099180556612419,1.0000000000137197
1000,1.6237767391887217,1.5,tribonacci,0.0409145209689435,0.9999999999986616
1000,2.636650898730358,1.5,tribonacci,0.040639261141857785,1.0000000001387548
1000,4.281332398719393,1.5,tribonacci,0.040359229888753345,1.0000000001187546
1000,6.951927961775605,1.5,tribonacci,0.04104083607224812,0.9999999998497716
1000,11.28837891684689,1.5,tribonacci,0.040982468526847164,1.000000000084546
1000,18.329807108324356,1.5,tribonacci,0.04084357346802539,0.999999999757724
1000,29.763514416313175,1.5,tribonacci,0.04061803413958649,0.9999999998797209
1000,48.32930238571752,1.5,tribonacci,0.03997445103624714,0.9999999998537008
1000,78.47599703514611,1.5,tribonacci,0.04006383766930631,0.999999999528901
1000,127.42749857031335,1.5,tribonacci,0.040340393586744294,0.999999999409419
1000,206.913808111479,1.5,tribonacci,0.0398180702349359,0.9999999991088235
1000,335.9818286283781,1.5,tribonacci,0.039893743729226216,0.9999999989057
1000,545.5594781168514,1.5,tribonacci,0.039355271619587844,0.999999967208543
1000,885.8667904100823,1.5,tribonacci,0.04152987845676774,0.9999998856016804
1000,1438.449888287663,1.5,tribonacci,0.03672374591061023,0.9999997442438885
1000,2335.7214690901214,1.5,tribonacci,0.030881866066414607,0.999999438857099
1000,3792.690190732246,1.5,tribonacci,0.03615694809064861,0.9999989068686709
1000,6158.48211066026,1.5,tribonacci,0.03377872185034928,0.9999980562629608
1000,10000.0,1.5,tribonacci,0.013751041971026072,0.9999967422548295
2000,0.0,1.5,fibonacci,0.00940313707633849,1.0
2000,1.0,1.5,fibonacci,0.009401945233425645,1.000000000000677
2000,1.6237767391887217,1.5,fibonacci,0.009397120507188656,0.9999999999576192
2000,2.636650898730358,1.5,fibonacci,0.009379306995790464,0.9999999999694017
2000,4.281332398719393,1.5,fibonacci,0.009348588650790737,0.9999999999660915
2000,6.951927961775605,1.5,fibonacci,0.009288317136581752,1.0000000000129619
2000,11.28837891684689,1.5,fibonacci,0.008935435420517661,0.9999999999838133
2000,18.329807108324356,1.5,fibonacci,0.008621271772877328,0.9999999999421236
2000,29.763514416313175,1.5,fibonacci,0.008625411026155758,0.9999999998976501
2000,48.32930238571752,1.5,fibonacci,0.006345863524524706,0.9999999998710646
2000,78.47599703514611,1.5,fibonacci,0.0044329671021393615,0.9999999998492793
2000,127.42749857031335,1.5,fibonacci,0.004934925409273756,0.9999999997380546
2000,206.913808111479,1.5,fibonacci,0.00466501087630597,0.9999999994236415
2000,335.9818286283781,1.5,fibonacci,0.007773168868512575,0.9999999990163524
2000,545.5594781168514,1.5,fibonacci,0.005252441157717622,0.999999998254437
2000,885.8667904100823,1.5,fibonacci,0.005217068268205577,0.9999999969025489
2000,1438.449888287663,1.5,fibonacci,0.0035015995426128333,0.9999999945524561
2000,2335.7214690901214,1.5,fibonacci,0.003921142892139673,0.9999999903699234
2000,3792.690190732246,1.5,fibonacci,0.0030765538601440216,0.9999999827741646
2000,6158.48211066026,1.5,fibonacci,0.003244734610199699,0.999999970972013
2000,10000.0,1.5,fibonacci,0.0033664542918029894,0.9999999499276437
2000,0.0,1.5,tribonacci,0.0483982089007412,1.0
2000,1.0,1.5,tribonacci,0.04835673441625219,1.0000000000171718
2000,1.6237767391887217,1.5,tribonacci,0.04816900735016004,1.0000000000039035
2000,2.636650898730358,1.5,tribonacci,0.04750851159045022,1.0000000001588878
2000,4.281332398719393,1.5,tribonacci,0.04686210876162434,1.0000000000989688
2000,6.951927961775605,1.5,tribonacci,0.04845639138316371,0.9999999999987982
2000,11.28837891684689,1.5,tribonacci,0.04825062908001067,0.999999999883094
2000,18.329807108324356,1.5,tribonacci,0.04815586461683703,0.9999999999146646
2000,29.763514416313175,1.5,tribonacci,0.04763112090914476,0.9999999996411345
2000,48.32930238571752,1.5,tribonacci,0.04644013746857054,0.9999999995055996
2000,78.47599703514611,1.5,tribonacci,0.04744027255060221,0.999999998352243
2000,127.42749857031335,1.5,tribonacci,0.043556283758041416,0.9999999982057223
2000,206.913808111479,1.5,tribonacci,0.0413630387709436,0.9999999969977267
2000,335.9818286283781,1.5,tribonacci,0.030570411914137653,0.9999999769972605
2000,545.5594781168514,1.5,tribonacci,0.0256298893507273,0.999999880053044
2000,885.8667904100823,1.5,tribonacci,0.022621091301366306,0.9999997309941198
2000,1438.449888287663,1.5,tribonacci,0.024055227616022523,0.9999994535079273
2000,2335.7214690901214,1.5,tribonacci,0.01890823827778885,0.9999990133013799
2000,3792.690190732246,1.5,tribonacci,0.016146599053372575,0.9999983495071422
2000,6158.48211066026,1.5,tribonacci,0.014555126210486404,0.9999973313840256
2000,10000.0,1.5,tribonacci,0.010423982730786131,0.9999957187011602
